reviewer_id,listing_id,item_factor_0,item_factor_1,item_factor_2,item_factor_3,item_factor_4,item_factor_5,item_factor_6,item_factor_7,item_factor_8,item_factor_9
277,{3639516},,,,,,,,,,
283,{22126056},,,,,,,,,,
294,{14706427},,,,,,,,,,
302,{6968350},,,,,,,,,,
2503,{23548940},,,,,,,,,,
2778,{5377342},,,,,,,,,,
4634,{14223124},,,,,,,,,,
6488,"{28125905, 29962235}",,,,,,,,,,
8957,{35754352},,,,,,,,,,
9883,{2963939},,,,,,,,,,
10569,{12211392},,,,,,,,,,
11115,{8264717},,,,,,,,,,
12659,{16620686},,,,,,,,,,
13183,{241503},,,,,,,,,,
13706,{20214359},,,,,,,,,,
14767,{29093098},,,,,,,,,,
14920,{17351596},,,,,,,,,,
15272,"{9828881, 16726178}",,,,,,,,,,
15397,{9532788},,,,,,,,,,
15942,{35887689},,,,,,,,,,
16353,"{4576362, 9834743}",,,,,,,,,,
16933,{20263356},,,,,,,,,,
20892,{17928273},,,,,,,,,,
21901,{10001615},,,,,,,,,,
23427,{16947051},,,,,,,,,,
25503,"{5241732, 3987557}",,,,,,,,,,
26885,{18348193},,,,,,,,,,
27555,{22973504},,,,,,,,,,
29075,{4108082},,,,,,,,,,
29302,{1306210},,,,,,,,,,
30093,{1277842},,,,,,,,,,
30261,{25892078},,,,,,,,,,
30571,{14706427},,,,,,,,,,
31298,{12299983},,,,,,,,,,
35384,"{32903872, 33069153, 33001476, 33393706, 14154862}",,,,,,,,,,
36744,{4616523},,,,,,,,,,
40171,{24664051},,,,,,,,,,
43393,{23276338},,,,,,,,,,
44956,{16936558},,,,,,,,,,
45211,"{7930906, 7931127, 3863231}",,,,,,,,,,
45937,{7164756},,,,,,,,,,
46059,{5185612},,,,,,,,,,
46177,{6830660},,,,,,,,,,
48655,{468782},,,,,,,,,,
49880,{71907},,,,,,,,,,
50094,{24200900},,,,,,,,,,
51308,{12536372},,,,,,,,,,
52289,{6529707},,,,,,,,,,
52435,{5875270},,,,,,,,,,
53775,{8399111},,,,,,,,,,
54564,{1654284},,,,,,,,,,
57299,"{13855049, 35818699}",,,,,,,,,,
59023,{17856170},,,,,,,,,,
61677,{25143657},,,,,,,,,,
61839,{20263356},,,,,,,,,,
63141,{22051870},,,,,,,,,,
63485,{3844690},,,,,,,,,,
66270,{21899879},,,,,,,,,,
66375,{4664392},,,,,,,,,,
66808,{2090082},,,,,,,,,,
67134,{20815980},,,,,,,,,,
69056,{6531247},,,,,,,,,,
70223,{13266699},,,,,,,,,,
70272,"{5246432, 5897641}",,,,,,,,,,
70282,{241503},,,,,,,,,,
70745,"{10244337, 4616523, 14397294, 30083183}",,,,,,,,,,
71693,{6518372},,,,,,,,,,
72213,{13141357},,,,,,,,,,
73288,{5376240},,,,,,,,,,
73547,{29500892},,,,,,,,,,
74830,{33922412},,,,,,,,,,
77257,{15792808},,,,,,,,,,
77323,{4664392},,,,,,,,,,
78192,{7015796},,,,,,,,,,
78564,{4751362},,,,,,,,,,
79111,"{14791185, 6100964}",,,,,,,,,,
79928,{2090082},,,,,,,,,,
